Time,Volume,Open,High,Low,Close
2018-11-19 13:23:20,1,112.762,112.762,112.762,112.762
2018-11-19 13:23:25,1,112.765,112.765,112.765,112.765
2018-11-19 13:24:00,2,112.768,112.770,112.768,112.770
2018-11-19 13:24:10,2,112.772,112.776,112.772,112.776
2018-11-19 13:24:15,1,112.778,112.778,112.778,112.778
2018-11-19 13:24:20,4,112.780,112.784,112.780,112.782
2018-11-19 13:24:25,3,112.784,112.790,112.784,112.790
2018-11-19 13:24:30,4,112.788,112.790,112.785,112.790
2018-11-19 13:24:40,2,112.788,112.788,112.785,112.785
2018-11-19 13:24:50,3,112.787,112.787,112.784,112.787
2018-11-19 13:24:55,2,112.790,112.792,112.790,112.792
2018-11-19 13:25:00,2,112.790,112.790,112.788,112.788
2018-11-19 13:25:05,3,112.785,112.785,112.782,112.784
2018-11-19 13:25:10,2,112.786,112.789,112.786,112.789
2018-11-19 13:25:15,1,112.792,112.792,112.792,112.792
2018-11-19 13:25:20,2,112.794,112.796,112.794,112.796
2018-11-19 13:25:25,1,112.794,112.794,112.794,112.794
2018-11-19 13:25:35,1,112.796,112.796,112.796,112.796
2018-11-19 13:25:40,1,112.800,112.800,112.800,112.800
2018-11-19 13:25:45,3,112.797,112.799,112.797,112.797
2018-11-19 13:25:55,4,112.799,112.799,112.797,112.797
2018-11-19 13:26:05,2,112.800,112.800,112.796,112.796
2018-11-19 13:26:10,1,112.794,112.794,112.794,112.794
2018-11-19 13:26:20,2,112.792,112.792,112.789,112.789
2018-11-19 13:26:30,4,112.792,112.794,112.789,112.794
2018-11-19 13:26:35,1,112.797,112.797,112.797,112.797
2018-11-19 13:26:40,2,112.799,112.802,112.799,112.802
2018-11-19 13:26:45,1,112.804,112.804,112.804,112.804
2018-11-19 13:26:55,5,112.802,112.802,112.797,112.802
2018-11-19 13:27:15,3,112.800,112.800,112.797,112.799
2018-11-19 13:27:30,1,112.802,112.802,112.802,112.802
2018-11-19 13:27:45,1,112.799,112.799,112.799,112.799
2018-11-19 13:27:55,2,112.797,112.800,112.797,112.800
2018-11-19 13:28:05,4,112.797,112.804,112.797,112.804
2018-11-19 13:28:10,1,112.806,112.806,112.806,112.806
2018-11-19 13:28:15,2,112.804,112.804,112.802,112.802
2018-11-19 13:28:20,2,112.800,112.800,112.797,112.797
2018-11-19 13:28:25,2,112.800,112.802,112.800,112.802
2018-11-19 13:28:30,1,112.800,112.800,112.800,112.800
2018-11-19 13:28:35,2,112.797,112.797,112.794,112.794
2018-11-19 13:29:10,8,112.792,112.792,112.782,112.784
2018-11-19 13:29:15,3,112.787,112.790,112.787,112.788
2018-11-19 13:29:20,1,112.785,112.785,112.785,112.785
2018-11-19 13:29:25,2,112.782,112.782,112.780,112.780
2018-11-19 13:29:30,2,112.782,112.782,112.780,112.780
2018-11-19 13:29:50,2,112.776,112.778,112.776,112.778
2018-11-19 13:29:55,1,112.776,112.776,112.776,112.776
2018-11-19 13:30:00,1,112.778,112.778,112.778,112.778
2018-11-19 13:30:05,1,112.780,112.780,112.780,112.780
2018-11-19 13:30:20,1,112.783,112.783,112.783,112.783
2018-11-19 13:30:30,5,112.780,112.780,112.775,112.775
2018-11-19 13:30:40,2,112.778,112.780,112.778,112.780
2018-11-19 13:30:45,1,112.778,112.778,112.778,112.778
2018-11-19 13:30:50,2,112.780,112.782,112.780,112.782
2018-11-19 13:30:55,1,112.780,112.780,112.780,112.780
2018-11-19 13:31:00,1,112.778,112.778,112.778,112.778
2018-11-19 13:31:05,2,112.776,112.778,112.776,112.778
2018-11-19 13:31:10,1,112.780,112.780,112.780,112.780
2018-11-19 13:31:15,1,112.782,112.782,112.782,112.782
2018-11-19 13:31:25,1,112.784,112.784,112.784,112.784
2018-11-19 13:31:30,1,112.782,112.782,112.782,112.782
2018-11-19 13:31:40,1,112.784,112.784,112.784,112.784
2018-11-19 13:31:45,2,112.787,112.790,112.787,112.790
2018-11-19 13:31:55,2,112.788,112.788,112.785,112.785
2018-11-19 13:32:00,1,112.782,112.782,112.782,112.782
2018-11-19 13:32:10,2,112.780,112.782,112.780,112.782
2018-11-19 13:32:15,2,112.780,112.782,112.780,112.782
2018-11-19 13:32:20,3,112.784,112.787,112.784,112.785
2018-11-19 13:32:30,1,112.782,112.782,112.782,112.782
2018-11-19 13:32:35,2,112.784,112.788,112.784,112.788
2018-11-19 13:32:50,1,112.790,112.790,112.790,112.790
